Location name,Address,Postcode,Location phone,Local contact
Harbour Bite Kitchen,"14 King Street, Brighton",BN1 1AA,01273 555014,Maya Patel
Green Fork Grill,"82 High Road, London",N12 8QA,020 7946 1021,Daniel Reed
Spice Corner Express,"23 Market Lane, Birmingham",B5 4BU,0121 555 2098,Aisha Khan
The Toasted Bun,"6 Station Road, Manchester",M1 2AB,0161 555 3012,Chris Morgan
Bluebird Wraps,"41 Bridge Street, Bristol",BS1 6BX,0117 555 7710,
Northside Noodles,"9 Elm Grove, Leeds",LS2 7HY,0113 555 8844,Sophie Clarke
Urban Tandoor Box,"55 Westgate, Newcastle upon Tyne",NE1 4AG,,Imran Hussain
Oak Street Pizza,"18 Oak Street, Cardiff",CF10 1EP,029 2055 6620,Nia Evans
Crisp & Co,"102 Queen Road, Glasgow",G1 3DX,0141 555 4430,Ross McLeod
The Rice Room,"7 Friar Gate, Derby",DE1 1BX,01332 555 718,
Little Lime Taqueria,"29 Mill Road, Cambridge",CB1 2AD,01223 555 640,Eva Turner
Dockyard Deli,"4 Neptune Way, Liverpool",L3 4BQ,0151 555 9211,Tom Bennett
Saffron Street Bowls,"77 George Street, Edinburgh",EH2 3EE,0131 555 1288,Leila Ahmed
Burger Yard,"35 Chapel Street, Salford",M3 5DW,,Jordan Ellis
Steamhouse Kitchen,"12 Broad Street, Oxford",OX1 3AS,01865 555 091,Priya Shah
Golden Skewer,"64 London Road, Sheffield",S2 4LR,0114 555 3107,
Fresh Box Café,"21 Park Row, Nottingham",NG1 6GR,0115 555 6822,Hannah Brooks
Fire & Flour,"88 Castle Street, Belfast",BT1 1HE,028 9055 7401,Connor Walsh
The Salad Station,"3 Victoria Square, Hull",HU1 3RA,,
Miso Moon,"45 Clarence Parade, Portsmouth",PO5 2ET,023 9255 4190,Yuki Tanaka
Crave Chicken Co,"17 New Walk, Leicester",LE1 6TE,0116 555 2275,Samir Ali
Bean & Brioche,"11 Abbey Road, Bath",BA1 1NN,01225 555 804,Olivia Grant
The Falafel Stop,"50 Church Road, Hove",BN3 2FN,01273 555 228,
Tamarind Lane,"26 Silver Street, Durham",DH1 3RD,,Meera Joshi
Red Lantern Eats,"91 Union Street, Plymouth",PL1 3EZ,01752 555 930,Ben Carter
